kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
142,0,0,20,5401,20,53920000,9431ddc3-cb70-4875-9c95-307cf4e5f62f,329,pzdd.BD,uplay,9494,9431ddc3-cb70-4875-9c95-307cf4e5f62f,35,0
171,0,1,20,5395,20,63430000,2f2ad08b-3b5d-4051-919e-2be6dd7a90f0,152,IamBadly,uplay,9941,2f2ad08b-3b5d-4051-919e-2be6dd7a90f0,36,0
135,0,20,20,5379,20,48470000,d7263f99-b407-4c09-9a93-3a6b1c5020b2,295,Motive.S7,uplay,9606,d7263f99-b407-4c09-9a93-3a6b1c5020b2,37,0
151,20,0,20,5365,20,50000000,2ada7d42-7cf2-49a7-ade8-a4286caa6d6c,331,SixShooter.GG,uplay,9812,2ada7d42-7cf2-49a7-ade8-a4286caa6d6c,38,0
139,0,0,20,5361,20,37810000,4dc68a0d-0e1f-43f1-b7cf-7364b7cafea1,132,Akame-47,uplay,9503,4dc68a0d-0e1f-43f1-b7cf-7364b7cafea1,39,0
174,0,20,20,5570,20,45970000,6f1ed826-9e4e-4f23-a007-aa8d45836b21,338,Vito-.,uplay,10170,6f1ed826-9e4e-4f23-a007-aa8d45836b21,40,0
117,17,17,20,5331,20,42270000,c0bf12a5-2f16-4998-886a-6b94c17ada32,316,Choqo1ate,uplay,9523,c0bf12a5-2f16-4998-886a-6b94c17ada32,41,0
171,0,0,20,5324,20,44270000,4b66e62a-6f8c-4f52-8a29-16c1862a192d,146,SamuraiCarai,uplay,10606,4b66e62a-6f8c-4f52-8a29-16c1862a192d,42,0
137,0,18,20,5316,20,46980000,65de0872-17c7-4a57-a6c8-0fdeccb08deb,338,SippinOnOJ.SiN,uplay,9745,65de0872-17c7-4a57-a6c8-0fdeccb08deb,43,0
150,0,0,20,5306,20,45360000,4b3108ba-440c-406b-8940-e3fc559b391b,298,LUKlD.T1,uplay,9635,4b3108ba-440c-406b-8940-e3fc559b391b,44,0
112,0,0,20,5295,20,38290000,d729010e-2f39-40b9-9b85-af97b3b5cefd,238,pdr1nn.,uplay,10052,d729010e-2f39-40b9-9b85-af97b3b5cefd,45,0
109,0,0,20,5294,20,49740000,fb569409-7272-4b25-9afe-701c32746bd2,203,Spiderz.,uplay,9861,fb569409-7272-4b25-9afe-701c32746bd2,46,0
143,0,0,20,5291,20,39770000,d3b428ca-bca7-4c63-b31b-e939d6dc9378,222,Bexstly,uplay,9889,d3b428ca-bca7-4c63-b31b-e939d6dc9378,47,0
120,0,0,20,5282,20,40650000,7f4ace43-679d-427f-a9b1-0ef66d613ee6,219,kondzz.,uplay,9631,7f4ace43-679d-427f-a9b1-0ef66d613ee6,48,0
123,0,0,20,5281,20,48790000,bb4e4a04-2382-44f6-b74b-b2652e7cbe8f,274,awD.,uplay,9570,bb4e4a04-2382-44f6-b74b-b2652e7cbe8f,49,1
136,0,0,20,5266,20,54640000,692e6c58-4de1-4be0-afb7-1a8bc0f002d6,340,Novys1.IMT,uplay,9597,692e6c58-4de1-4be0-afb7-1a8bc0f002d6,50,0
174,0,0,20,5259,20,47100000,23053b38-1928-424b-bcad-5758da99c270,285,VertcL.Rogue,uplay,9871,23053b38-1928-424b-bcad-5758da99c270,51,0
136,17,19,20,5250,20,43920000,14109137-a1a6-4b39-b758-3eb4607a9376,292,Prefire.,uplay,9890,14109137-a1a6-4b39-b758-3eb4607a9376,52,0
142,0,0,20,5246,20,42720000,e011388b-639b-4c22-a329-5e615ec7a999,203,Kafuuschia,uplay,9704,e011388b-639b-4c22-a329-5e615ec7a999,53,0
141,0,0,20,5246,20,43690000,fec60dc5-d57d-43b5-93cf-542d197750ab,137,SoutorToMesmo,uplay,10190,fec60dc5-d57d-43b5-93cf-542d197750ab,54,0
164,0,20,20,5241,20,36280000,b2038551-624b-41e1-8fde-9733a02c991a,239,Parzzivaal,uplay,10196,b2038551-624b-41e1-8fde-9733a02c991a,55,0
132,0,0,20,5236,20,45330000,ee44304d-730e-4682-9a64-c54439e7871b,331,Rampy.SSG,uplay,9629,ee44304d-730e-4682-9a64-c54439e7871b,56,1
